Date,Startup_Name,Industry_Vertical,City_Location,Amount_in_USD
2019-12-20,Lenskart.com,E-Commerce,Faridabad,231000000
2019-12-17,Healthians,B2B-focused foodtech startup,Bengaluru,12000000
2019-12-16,Licious,E-Commerce,Bengaluru,30000000
2019-12-16,InCred,Finance,Mumbai,5900000
2019-12-14,Trell,Video,Bengaluru,2000000
2019-12-13,Rivigo,Technology,Gurgaon,20000000
2019-12-12,Ecozen,Technology,Pune,6000000
2019-12-11,Rein Games,Gaming,Noida,50000000
2019-12-06,CarDekho,E-Commerce,Gurgaon,70000000
2019-12-03,Dhruva Space,Aerospace,Bengaluru,50000000
2019-11-25,Paytm,FinTech,Noida,1000000000
2019-11-20,Aye Finance,FinTech,Gurgaon,17411264
2019-11-20,Clumio,SaaS,"""San Jose,""",135000000
2019-11-19,Digital Mall Asia,E-Commerce,Delhi,220000000
2019-11-19,Furtados School of Music,Education,Tulangan,200000000
2019-11-18,Healthians,Health and Wellness,Gurgaon,12000000
2019-11-18,Medikabazaar,Healthcare,Mumbai,15800000
2019-11-17,Burger Singh,Food and Beverage,Gurgaon,NULL
2019-11-15,Ninjacart,B2B Marketing,Bengaluru,26000000
2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,283000000
2019-11-14,Misters,Health and wellness,Gurgaon,486000
2019-11-13,Freshworks,Software,San Francisco,150000000
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000
2019-11-12,SuperGaming,Video Games,Pune,1300000
2019-11-11,eBikeGo,Last Mile Transportation,Amritsar,300000
2019-10-21,The Man Company,Consumer Goods,Gurgaon,NULL
2019-10-04,Dunzo,Customer Service,Bengaluru,45000000
2019-10-02,Udaan,B2B,Bengaluru,585000000
2019-09-05,FPL Technologies,FinTech,Pune,4500000
2019-09-04,Cashflo,FinTech,Mumbai,3300000
2019-09-04,Digital F5,"""Advertising, Marketing""",Mumbai,6000000
2019-09-04,3rdFlix,SaaS,Hyderabad,5000000
2019-09-04,75F,IoT,Burnsville,18000000
2019-09-04,Myelin Foundry,Information Technology,Bengaluru,1000000
2019-09-04,Atomberg Technology,Consumer Technology,Mumbai,10000000
2019-09-04,GOQii,Health and Wellness,Menlo Park,450000000
2019-09-03,Vyapar App,Accounting,Bengaluru,5000000
2019-08-27,Rapido Bike Taxi,Transportation,Bengaluru,3900000000
